PacFIN Port Name,Pcid,Agency,Lon,Lat,State,Position,County,Notes
Other Washingtion Coastal Ports,OWC,WDFW,-124.32668,47.38733,WA,Approximate - do not use for distance calculations,Grays Harbor,VMS points don't appear to converge on this port
Oxnard,OXN,CDFG,-119.22438,34.16501,CA,Exact,Ventura,
Pacific City,PCC,ODFW,-123.96502,45.19930,OR,Exact,Tillamook,VMS points don't appear to converge on this port
Point Arena,ARE,CDFG,-123.71075,38.91447,CA,Exact,Mendocino,"Not feasible to create a port polygon, but a lot of VMS points converge here"
Point Reyes,RYS,CDFG,-122.97335,37.99531,CA,Exact,Marin,"Not feasible to create a port polygon, but a lot of VMS points converge here"
Port Angeles,PAG,WDFW,-123.45084,48.12453,WA,Exact,Clallam,
Port Hueneme,HNM,CDFG,-119.20739,34.15009,CA,Exact,Ventura,
Port Orford,ORF,ODFW,-124.49823,42.73929,OR,Exact,Curry,
Port Townsend,TNS,WDFW,-122.77509,48.10638,WA,Exact,Jefferson,
Princeton/Half Moon Bay,PRN,CDFG,-122.48250,37.50118,CA,Exact,San Mateo,
PSEUDO PORT CODE FOR COLUMBIA RIVER,CRV,ODFW,-123.94781,46.23873,OR,Approximate - do not use for distance calculations,Clatsop/Pacific,VMS points don't appear to converge on this port
Richmond,RCH,CDFG,-122.37218,37.92246,CA,Exact,Contra Costa,
Salmon River,SRV,ODFW,-124.00722,45.04614,OR,Approximate - do not use for distance calculations,Lincoln,"VMS points don't appear to converge on this port, doesn't seem to be in PacFIN database"
San Diego,SD,CDFG,-117.17365,32.71060,CA,Exact,San Diego,
San Francisco,SF,CDFG,-122.41919,37.81012,CA,Exact,San Francisco,
San Pedro,SP,CDFG,-118.27676,33.73011,CA,Exact,Los Angeles,
Santa Barbara,SB,CDFG,-119.69245,34.40429,CA,Exact,Santa Barbara,
Santa Cruz,CRZ,CDFG,-122.00243,36.96620,CA,Exact,Santa Cruz,
Sausalito,SLT,CDFG,-122.49669,37.86831,CA,Exact,Marin,
Seattle,SEA,WDFW,-122.38465,47.62947,WA,Exact,King,
Sequim,SEQ,WDFW,-123.07971,48.13068,WA,Exact,Clallam,VMS points don't appear to converge on this port
Shelton,SHL,WDFW,-123.09171,47.21256,WA,Exact,Mason,VMS points don't appear to converge on this port
Shilshole & Lake Washington (Not a listed PacFIN Port),,,-122.40597,47.66805,WA,Exact,King,"Not a PacFIN port, but a lot of VMS points converge here"
Siletz Bay,SLZ,ODFW,-124.02395,44.92697,OR,Exact,Lincoln,"Located in the town of Siletz, not even on Siletz Bay and VMS points don't appear to converge on this port (or Siletz Bay)"
Tacoma,TAC,WDFW,-122.41211,47.28529,WA,Exact,Pierce,
Terminal Island,TRM,CDFG,-118.26723,33.73639,CA,Exact,Los Angeles,
Tillamook/Garibaldi,TLL,ODFW,-123.91189,45.55377,OR,Exact,Tillamook,
Tomales Bay,TML,CDFG,-122.91277,38.17128,CA,Exact,Marin,VMS points don't appear to converge on this port
Trinidad,TRN,CDFG,-124.14669,41.05485,CA,Exact,Humboldt,"Not feasible to create a port polygon, but a lot of VMS points converge here"
Vallejo (Not a listed PacFIN Port),,,-122.27210,38.10890,CA,Exact,,"Not a PacFIN port, but a lot of VMS points converge here"
Ventura,VEN,CDFG,-119.26303,34.24149,CA,Exact,Ventura,
Waldport,WLD,ODFW,-124.06999,44.42682,OR,Exact,Lincoln,VMS points don't appear to converge on this port
Westport,WPT,WDFW,-124.10832,46.90757,WA,Exact,Grays Harbor,
Willapa Bay,WLB,WDFW,-124.02602,46.50102,WA,Exact,Pacific,
Willmington,WLM,CDFG,-118.26614,33.76147,CA,Exact,Los Angeles,
Winchester Bay,WIN,ODFW,-124.17828,43.67965,OR,Exact,Douglas,
Yachats,YAC,ODFW,-124.10214,44.30906,OR,Approximate - do not use for distance calculations,Lincoln,VMS points don't appear to converge on this port
,,,,,,,,
,,,,,,,,
